f2_21[0] | type=Tx | page=2 | object=861_0 | value= | default= | flags=8388608 | maxLength= | rect=504,456.001,576,468 | states= | options=
f2_22[0] | type=Tx | page=2 | object=904_0 | value= | default= | flags=16777216 | maxLength=9 | rect=237.6,432,324,443.999 | states= | options=
f2_23[0] | type=Tx | page=2 | object=863_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,420.001,481.65,432 | states= | options=
c2_12[0] | type=Btn | page=2 | object=864_0 | value=Off | default= | flags= | maxLength= | rect=467.2,410.002,475.2,418.002 | states=1,Off | options=
c2_13[0] | type=Btn | page=2 | object=865_0 | value=Off | default= | flags= | maxLength= | rect=467.2,398,475.2,406 | states=1,Off | options=
c2_14[0] | type=Btn | page=2 | object=903_0 | value=Off | default= | flags= | maxLength= | rect=373.6,374.002,381.6,382.002 | states=1,Off | options=
f2_24[0] | type=Tx | page=2 | object=867_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,372.002,481.65,384.001 | states= | options=
f2_25[0] | type=Tx | page=2 | object=868_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,360,481.65,371.999 | states= | options=
f2_26[0] | type=Tx | page=2 | object=869_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,348.001,481.65,360 | states= | options=
f2_27[0] | type=Tx | page=2 | object=870_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,336.002,481.65,348.001 | states= | options=
f2_28[0] | type=Tx | page=2 | object=871_0 | value= | default= | flags=8388608 | maxLength= | rect=504,324,576,335.999 | states= | options=
f2_29[0] | type=Tx | page=2 | object=872_0 | value= | default= | flags=8388608 | maxLength= | rect=504,312.001,576,324 | states= | options=
f2_30[0] | type=Tx | page=2 | object=873_0 | value= | default= | flags=8388608 | maxLength= | rect=504,300.002,576,312.001 | states= | options=
c2_15[0] | type=Btn | page=2 | object=874_0 | value=Off | default= | flags= | maxLength= | rect=467.2,290,475.2,298 | states=1,Off | options=
f2_31[0] | type=Tx | page=2 | object=875_0 | value= | default= | flags=8388608 | maxLength= | rect=504,288,576,299.999 | states= | options=
c2_16[0] | type=Btn | page=2 | object=877_0 | value=Off | default= | flags= | maxLength= | rect=377.4,278.001,385.4,286.001 | states=1,Off | options=
c2_16[1] | type=Btn | page=2 | object=878_0 | value=Off | default= | flags= | maxLength= | rect=435,278.001,443,286.001 | states=2,Off | options=
f2_32[0] | type=Tx | page=2 | object=902_0 | value= | default= | flags=25165824 | maxLength=9 | rect=180,276.999,309.6,288 | states= | options=
f2_33[0] | type=Tx | page=2 | object=901_0 | value= | default= | flags=25165824 | maxLength=17 | rect=180,265,424.8,276.001 | states= | options=
f2_34[0] | type=Tx | page=2 | object=880_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,252,481.65,263.999 | states= | options=
f2_35[0] | type=Tx | page=2 | object=881_0 | value= | default= | flags=8388608 | maxLength= | rect=504,227.999,576,240 | states= | options=
f2_36[0] | type=Tx | page=2 | object=882_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,216,481.65,227.999 | states= | options=
c2_17[0] | type=Btn | page=2 | object=883_0 | value=Off | default= | flags= | maxLength= | rect=432,206.251,440,214.251 | states=1,Off | options=
c2_17[1] | type=Btn | page=2 | object=884_0 | value=Off | default= | flags= | maxLength= | rect=540,206.251,548,214.251 | states=2,Off | options=
f2_39[0] | type=Tx | page=2 | object=887_0 | value= | default= | flags=25165824 | maxLength=5 | rect=504,180.5,576,191.999 | states=FormType,Length,Subtype,Type | options=
f2_37[0] | type=Tx | page=2 | object=885_0 | value= | default= | flags=8392704 | maxLength= | rect=129.6,180,295.2,198 | states= | options=
f2_38[0] | type=Tx | page=2 | object=886_0 | value= | default= | flags=8388608 | maxLength= | rect=324,180,424.8,198 | states= | options=
f2_40[0] | type=Tx | page=2 | object=888_0 | value= | default= | flags=8388608 | maxLength= | rect=325,126,460.05,145.999 | states= | options=
f2_41[0] | type=Tx | page=2 | object=889_0 | value= | default= | flags=25165824 | maxLength=6 | rect=504,126,576,137.999 | states=FormType,Length,Subtype,Type | options=
f2_42[0] | type=Tx | page=2 | object=890_0 | value= | default= | flags=8388608 | maxLength= | rect=325,96.001,460.05,116 | states= | options=
f2_43[0] | type=Tx | page=2 | object=891_0 | value= | default= | flags=25165824 | maxLength=6 | rect=504,96.001,576,108 | states=FormType,Length,Subtype,Type | options=
f2_44[0] | type=Tx | page=2 | object=892_0 | value= | default= | flags=8388608 | maxLength= | rect=127.599,84.002,272.85,96.001 | states= | options=
f2_45[0] | type=Tx | page=2 | object=893_0 | value= | default= | flags=8388608 | maxLength= | rect=324,84.002,576,96.001 | states= | options=
c2_18[0] | type=Btn | page=2 | object=896_0 | value=Off | default= | flags= | maxLength= | rect=518.4,63.501,526.4,71.501 | states=1,Off | options=
f2_46[0] | type=Tx | page=2 | object=894_0 | value= | default= | flags=8388608 | maxLength= | rect=91.599,59.998,222.45,73.999 | states= | options=
f2_47[0] | type=Tx | page=2 | object=895_0 | value= | default= | flags= | maxLength=11 | rect=454.6,59.998,510.45,73.999 | states= | options=
f2_48[0] | type=Tx | page=2 | object=897_0 | value= | default= | flags=8388608 | maxLength= | rect=134.599,48.002,452.85,60.001 | states= | options=
f2_49[0] | type=Tx | page=2 | object=898_0 | value= | default= | flags=8388608 | maxLength= | rect=494.6,48.002,576,60.001 | states= | options=
f2_50[0] | type=Tx | page=2 | object=899_0 | value= | default= | flags=8388608 | maxLength= | rect=142.599,36,452.85,47.999 | states= | options=
f2_51[0] | type=Tx | page=2 | object=900_0 | value= | default= | flags= | maxLength=10 | rect=494.6,36,576,47.999 | states= | options=
