f1_43[0] | type=Tx | kind=text | page=1 | object=333_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,251.966,172.05,275.967 | states= | onValues= | options=
f1_44[0] | type=Tx | kind=text | page=1 | object=334_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,251.966,223.2,263.967 | states= | onValues= | options=
f1_45[0] | type=Tx | kind=text | page=1 | object=335_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,251.966,273.6,263.967 | states= | onValues= | options=
f1_46[0] | type=Tx | kind=text | page=1 | object=336_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,251.966,337.65,263.967 | states= | onValues= | options=
f1_47[0] | type=Tx | kind=text | page=1 | object=337_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,251.966,402.45,263.967 | states= | onValues= | options=
f1_48[0] | type=Tx | kind=text | page=1 | object=338_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,251.966,446.4,263.967 | states= | onValues= | options=
f1_49[0] | type=Tx | kind=text | page=1 | object=339_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,251.966,510.45,263.967 | states= | onValues= | options=
f1_50[0] | type=Tx | kind=text | page=1 | object=340_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,251.966,576,263.967 | states= | onValues= | options=
f1_51[0] | type=Tx | kind=text | page=1 | object=325_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,227.965,172.05,251.966 | states= | onValues= | options=
f1_52[0] | type=Tx | kind=text | page=1 | object=326_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,227.965,223.2,239.966 | states= | onValues= | options=
f1_53[0] | type=Tx | kind=text | page=1 | object=327_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,227.965,273.6,239.966 | states= | onValues= | options=
f1_54[0] | type=Tx | kind=text | page=1 | object=328_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,227.965,337.65,239.966 | states= | onValues= | options=
f1_55[0] | type=Tx | kind=text | page=1 | object=329_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,227.965,402.45,239.966 | states= | onValues= | options=
f1_56[0] | type=Tx | kind=text | page=1 | object=330_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,227.965,446.4,239.966 | states= | onValues= | options=
f1_57[0] | type=Tx | kind=text | page=1 | object=331_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,227.965,510.45,239.966 | states= | onValues= | options=
f1_58[0] | type=Tx | kind=text | page=1 | object=332_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,227.965,576,239.966 | states= | onValues= | options=
f1_59[0] | type=Tx | kind=text | page=1 | object=317_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,203.964,172.05,227.965 | states= | onValues= | options=
f1_60[0] | type=Tx | kind=text | page=1 | object=318_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,203.964,223.2,215.965 | states= | onValues= | options=
f1_61[0] | type=Tx | kind=text | page=1 | object=319_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,203.964,273.6,215.965 | states= | onValues= | options=
f1_62[0] | type=Tx | kind=text | page=1 | object=320_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,203.964,337.65,215.965 | states= | onValues= | options=
f1_63[0] | type=Tx | kind=text | page=1 | object=321_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,203.964,402.45,215.965 | states= | onValues= | options=
f1_64[0] | type=Tx | kind=text | page=1 | object=322_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,203.964,446.4,215.965 | states= | onValues= | options=
f1_65[0] | type=Tx | kind=text | page=1 | object=323_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,203.964,510.45,215.965 | states= | onValues= | options=
f1_66[0] | type=Tx | kind=text | page=1 | object=324_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,203.964,576,215.965 | states= | onValues= | options=
f1_67[0] | type=Tx | kind=text | page=1 | object=309_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,179.963,172.05,203.964 | states= | onValues= | options=
f1_68[0] | type=Tx | kind=text | page=1 | object=310_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,179.963,223.2,191.964 | states= | onValues= | options=
f1_69[0] | type=Tx | kind=text | page=1 | object=311_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,179.963,273.6,191.964 | states= | onValues= | options=
f1_70[0] | type=Tx | kind=text | page=1 | object=312_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,179.963,337.65,191.964 | states= | onValues= | options=
f1_71[0] | type=Tx | kind=text | page=1 | object=313_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,179.963,402.45,191.964 | states= | onValues= | options=
f1_72[0] | type=Tx | kind=text | page=1 | object=314_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,179.963,446.4,191.964 | states= | onValues= | options=
f1_73[0] | type=Tx | kind=text | page=1 | object=315_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,179.963,510.45,191.964 | states= | onValues= | options=
f1_74[0] | type=Tx | kind=text | page=1 | object=316_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,179.963,576,191.964 | states= | onValues= | options=
f1_75[0] | type=Tx | kind=text | page=1 | object=301_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,155.962,172.05,179.963 | states= | onValues= | options=
f1_76[0] | type=Tx | kind=text | page=1 | object=302_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,155.962,223.2,167.963 | states= | onValues= | options=
f1_77[0] | type=Tx | kind=text | page=1 | object=303_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,155.962,273.6,167.963 | states= | onValues= | options=
f1_78[0] | type=Tx | kind=text | page=1 | object=304_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,155.962,337.65,167.963 | states= | onValues= | options=
f1_79[0] | type=Tx | kind=text | page=1 | object=305_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,155.962,402.45,167.963 | states= | onValues= | options=
f1_80[0] | type=Tx | kind=text | page=1 | object=306_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,155.962,446.4,167.963 | states= | onValues= | options=
f1_81[0] | type=Tx | kind=text | page=1 | object=307_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,155.962,510.45,167.963 | states= | onValues= | options=
f1_82[0] | type=Tx | kind=text | page=1 | object=308_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,155.962,576,167.963 | states= | onValues= | options=
